Week,flu
4/01/2004,2
11/01/2004,1
18/01/2004,1
25/01/2004,2
1/02/2004,1
8/02/2004,2
15/02/2004,1
22/02/2004,1
29/02/2004,1
7/03/2004,1
14/03/2004,1
21/03/2004,1
28/03/2004,1
4/04/2004,1
11/04/2004,0
18/04/2004,0
25/04/2004,0
2/05/2004,0
9/05/2004,0
16/05/2004,0
23/05/2004,0
30/05/2004,0
6/06/2004,0
13/06/2004,0
20/06/2004,0
27/06/2004,0
4/07/2004,0
11/07/2004,0
18/07/2004,0
25/07/2004,0
1/08/2004,0
8/08/2004,0
15/08/2004,0
22/08/2004,1
29/08/2004,1
5/09/2004,1
12/09/2004,1
19/09/2004,1
26/09/2004,1
3/10/2004,6
10/10/2004,8
17/10/2004,7
24/10/2004,5
31/10/2004,3
7/11/2004,2
14/11/2004,2
21/11/2004,2
28/11/2004,2
5/12/2004,2
12/12/2004,2
19/12/2004,2
26/12/2004,2
2/01/2005,2
9/01/2005,2
16/01/2005,2
23/01/2005,2
30/01/2005,2
6/02/2005,2
13/02/2005,2
20/02/2005,3
27/02/2005,2
6/03/2005,2
13/03/2005,1
20/03/2005,1
27/03/2005,1
3/04/2005,1
10/04/2005,1
17/04/2005,1
24/04/2005,1
1/05/2005,1
8/05/2005,1
15/05/2005,1
22/05/2005,1
29/05/2005,0
5/06/2005,0
12/06/2005,0
19/06/2005,0
26/06/2005,0
3/07/2005,0
10/07/2005,0
17/07/2005,0
24/07/2005,0
31/07/2005,0
7/08/2005,1
14/08/2005,1
21/08/2005,1
28/08/2005,1
4/09/2005,1
11/09/2005,1
18/09/2005,2
25/09/2005,3
2/10/2005,6
9/10/2005,8
16/10/2005,7
23/10/2005,6
30/10/2005,9
6/11/2005,6
13/11/2005,5
20/11/2005,4
27/11/2005,3
4/12/2005,3
11/12/2005,2
18/12/2005,2
25/12/2005,3
1/01/2006,2
8/01/2006,2
15/01/2006,2
22/01/2006,3
29/01/2006,2
5/02/2006,2
12/02/2006,2
19/02/2006,3
26/02/2006,3
5/03/2006,2
12/03/2006,4
19/03/2006,3
26/03/2006,2
2/04/2006,2
9/04/2006,2
16/04/2006,2
23/04/2006,2
30/04/2006,3
7/05/2006,3
14/05/2006,2
21/05/2006,2
28/05/2006,2
4/06/2006,1
11/06/2006,1
18/06/2006,1
25/06/2006,1
2/07/2006,1
9/07/2006,1
16/07/2006,1
23/07/2006,1
30/07/2006,1
6/08/2006,1
13/08/2006,1
20/08/2006,1
27/08/2006,1
3/09/2006,1
10/09/2006,1
17/09/2006,1
24/09/2006,1
1/10/2006,2
8/10/2006,3
15/10/2006,3
22/10/2006,4
29/10/2006,3
5/11/2006,3
12/11/2006,3
19/11/2006,2
26/11/2006,2
3/12/2006,2
10/12/2006,2
17/12/2006,2
24/12/2006,2
31/12/2006,2
7/01/2007,2
14/01/2007,2
21/01/2007,2
28/01/2007,2
4/02/2007,2
11/02/2007,2
