"term","extraction_date","count"
"abdominal pain on my right side",2021-03-26,121
"abdominal pain on my right side",2021-03-27,121
"abdominal pain on my right side",2021-03-28,121
"abdominal pain on my right side",2021-03-29,121
"abdominal pain on my right side",2021-03-30,121
"abdominal pain on my right side",2021-03-31,121
"abdominal pain on my right side",2021-04-01,121
"abdominal pain on my right side",2021-04-02,121
"abdominal pain on my right side",2021-04-03,121
"abdominal pain on my right side",2021-04-04,121
"abdominal pain on my right side",2021-04-05,121
"abdominal pain on my right side",2021-04-06,121
"abdominal pain on my right side",2021-04-07,121
"abdominal pain on my right side",2021-04-08,121
"abdominal pain on my right side",2021-04-09,121
"abdominal pain on my right side",2021-04-10,121
"abdominal pain on my right side",2021-04-11,121
"abdominal pain on my right side",2021-04-12,121
"abdominal pain on my right side",2021-04-13,121
"abdominal pain on my right side",2021-04-14,121
"abdominal pain on my right side",2021-04-15,121
"abdominal pain on my right side",2021-04-16,121
"abdominal pain on my right side",2021-04-17,121
"abdominal pain on my right side",2021-04-18,121
"abdominal pain on my right side",2021-04-19,121
"abdominal pain on my right side",2021-04-20,121
"abdominal pain on my right side",2021-04-21,121
"abdominal pain on my right side",2021-04-22,121
"abdominal pain on my right side",2021-04-24,121
"abdominal pain on my right side",2021-04-25,121
"abdominal pain on my right side",2021-04-26,121
"abdominal pain on my right side",2021-04-27,121
"abdominal pain on my right side",2021-04-28,121
"abdominal pain on my right side",2021-04-29,121
"abdominal pain on my right side",2021-04-30,121
"abdominal pain on my right side",2021-05-01,121
"abdominal pain on my right side",2021-05-02,121
"abdominal pain on my right side",2021-05-03,121
"abdominal pain on my right side",2021-05-06,121
"abdominal pain on my right side",2021-05-07,121
"abdominal pain on my right side",2021-05-08,121
"abdominal pain on my right side",2021-05-09,121
"abdominal pain on my right side",2021-05-10,121
"abdominal pain on my right side",2021-05-11,121
"abdominal pain on my right side",2021-05-12,121
"abdominal pain on my right side",2021-05-13,121
"abdominal pain on my right side",2021-05-14,121
"abdominal pain on my right side",2021-05-15,121
"abdominal pain on my right side",2021-05-16,121
"abdominal pain on my right side",2021-05-17,121
"abdominal pain on my right side",2021-05-18,121
"abdominal pain on my right side",2021-05-19,121
"abdominal pain on my right side",2021-05-20,121
"abdominal pain on my right side",2021-05-21,121
"abdominal pain on my right side",2021-05-22,121
"abdominal pain on my right side",2021-05-23,121
"abdominal pain on my right side",2021-05-24,121
"abdominal pain on my right side",2021-05-26,121
"abdominal pain on my right side",2021-05-27,121
"abdominal pain on my right side",2021-05-29,121
"abdominal pain on my right side",2021-05-31,121
"abdominal pain on my right side",2021-06-01,121
"abdominal pain on my right side",2021-06-02,121
"abdominal pain on my right side",2021-06-03,121
"abdominal pain on my right side",2021-06-04,121
"abdominal pain on my right side",2021-06-05,121
"abdominal pain on my right side",2021-06-06,121
"abdominal pain on my right side",2021-06-07,121
"abdominal pain on my right side",2021-06-08,121
"abdominal pain on my right side",2021-06-09,121
"abdominal pain on my right side",2021-06-10,121
"abdominal pain on my right side",2021-06-11,121
"abdominal pain on my right side",2021-06-16,121
"abdominal pain on my right side",2021-06-17,121
"abdominal pain on my right side",2021-06-19,121
"abdominal pain on my right side",2021-06-20,121
"abdominal pain on my right side",2021-06-21,121
"abdominal pain on my right side",2022-03-14,121
"abdominal pain on my right side",2022-03-15,121
"abdominal pain on my right side",2022-03-16,121
"abdominal pain on my right side",2022-03-17,121
"abdominal pain on my right side",2022-03-18,121
"abdominal pain on my right side",2022-03-19,121
"abdominal pain on my right side",2022-03-20,121
"abdominal pain on my right side",2022-03-21,121
"abdominal pain on my right side",2022-03-22,121
"abdominal pain on my right side",2022-03-23,121
"abdominal pain on my right side",2022-03-24,121
"abdominal pain on my right side",2022-03-25,121
"abdominal pain on my right side",2022-03-26,121
"abdominal pain on my right side",2022-03-27,121
"abdominal pain on my right side",2022-03-28,121
"abdominal pain on my right side",2022-03-29,121
"abdominal pain on my right side",2022-03-30,121
"abdominal pain on my right side",2022-03-31,121
"abdominal pain on my right side",2022-04-01,121
"abdominal pain on my right side",2022-04-02,121
"abdominal pain on my right side",2022-04-03,121
"abdominal pain on my right side",2022-04-04,121
"abdominal pain on my right side",2022-04-05,121
"abdominal pain on my right side",2022-04-06,121
"abdominal pain on my right side",2022-04-07,121
"abdominal pain on my right side",2022-04-08,121
"abdominal pain on my right side",2022-04-09,121
"abdominal pain on my right side",2022-04-10,121
"abdominal pain on my right side",2022-04-11,121
"abdominal pain on my right side",2022-04-12,121
"abdominal pain on my right side",2022-04-13,121
"abdominal pain on my right side",2022-04-14,121
"abdominal pain on my right side",2022-04-19,121
"abdominal pain on my right side",2022-04-20,121
"abdominal pain on my right side",2022-04-21,121
"abdominal pain on my right side",2022-04-22,121
"abdominal pain on my right side",2022-04-23,121
"abdominal pain on my right side",2022-04-26,121
"abdominal pain on my right side",2022-04-27,121
"abdominal pain on my right side",2022-04-28,121
"abdominal pain on my right side",2022-04-29,121
"abdominal pain on my right side",2022-04-30,121
"abdominal pain on my right side",2022-05-01,121
"abdominal pain on my right side",2022-05-05,121
"abdominal pain on my right side",2022-05-06,121
"abdominal pain on my right side",2022-05-07,121
"abdominal pain on my right side",2022-05-08,121
"abdominal pain on my right side",2022-05-09,121
"abdominal pain on my right side",2022-05-10,121
"abdominal pain on my right side",2022-05-11,121
"abdominal pain on my right side",2022-05-12,121
"abdominal pain on my right side",2022-05-14,121
"abdominal pain on my right side",2022-05-15,121
"amoxicillin",2021-03-26,118
"amoxicillin",2021-03-27,118
"amoxicillin",2021-03-28,118
"amoxicillin",2021-03-29,118
"amoxicillin",2021-03-30,118
"amoxicillin",2021-03-31,118
"amoxicillin",2021-04-01,118
"amoxicillin",2021-04-02,118
"amoxicillin",2021-04-03,118
"amoxicillin",2021-04-04,118
"amoxicillin",2021-04-05,118
"amoxicillin",2021-04-06,118
"amoxicillin",2021-04-07,118
"amoxicillin",2021-04-08,118
"amoxicillin",2021-04-09,118
"amoxicillin",2021-04-10,118
"amoxicillin",2021-04-11,118
"amoxicillin",2021-04-12,118
"amoxicillin",2021-04-13,118
"amoxicillin",2021-04-14,118
"amoxicillin",2021-04-15,118
"amoxicillin",2021-04-16,118
"amoxicillin",2021-04-17,118
"amoxicillin",2021-04-18,118
"amoxicillin",2021-04-19,118
"amoxicillin",2021-04-20,118
"amoxicillin",2021-04-21,118
"amoxicillin",2021-04-22,118
"amoxicillin",2021-04-24,118
"amoxicillin",2021-04-25,118
"amoxicillin",2021-04-26,118
"amoxicillin",2021-04-27,118
"amoxicillin",2021-04-28,118
"amoxicillin",2021-04-29,118
"amoxicillin",2021-04-30,118
"amoxicillin",2021-05-01,118
"amoxicillin",2021-05-02,118
"amoxicillin",2021-05-03,118
"amoxicillin",2021-05-06,118
"amoxicillin",2021-05-07,118
"amoxicillin",2021-05-08,118
"amoxicillin",2021-05-09,118
"amoxicillin",2021-05-10,118
"amoxicillin",2021-05-11,118
"amoxicillin",2021-05-12,118
"amoxicillin",2021-05-13,118
"amoxicillin",2021-05-14,118
"amoxicillin",2021-05-15,118
"amoxicillin",2021-05-16,118
"amoxicillin",2021-05-17,118
"amoxicillin",2021-05-18,118
"amoxicillin",2021-05-19,118
