,gt_value,date,region,date_obtained,term_topic
0,,,CH-AG,2021-06-03.xlsx,meth
1,,,CH-AG,2021-06-03.xlsx,meth
2,0.0,2004-01-01,CH-AG,2021-05-29.xlsx,meth
3,0.0,2004-02-01,CH-AG,2021-05-29.xlsx,meth
4,0.0,2004-03-01,CH-AG,2021-05-29.xlsx,meth
5,0.0,2004-04-01,CH-AG,2021-05-29.xlsx,meth
6,0.0,2004-05-01,CH-AG,2021-05-29.xlsx,meth
7,0.0,2004-06-01,CH-AG,2021-05-29.xlsx,meth
8,0.0,2004-07-01,CH-AG,2021-05-29.xlsx,meth
9,0.0,2004-08-01,CH-AG,2021-05-29.xlsx,meth
10,0.0,2004-09-01,CH-AG,2021-05-29.xlsx,meth
11,0.0,2004-10-01,CH-AG,2021-05-29.xlsx,meth
12,0.0,2004-11-01,CH-AG,2021-05-29.xlsx,meth
13,0.0,2004-12-01,CH-AG,2021-05-29.xlsx,meth
14,0.0,2005-01-01,CH-AG,2021-05-29.xlsx,meth
15,0.0,2005-02-01,CH-AG,2021-05-29.xlsx,meth
16,0.0,2005-03-01,CH-AG,2021-05-29.xlsx,meth
17,0.0,2005-04-01,CH-AG,2021-05-29.xlsx,meth
18,0.0,2005-05-01,CH-AG,2021-05-29.xlsx,meth
19,0.0,2005-06-01,CH-AG,2021-05-29.xlsx,meth
20,0.0,2005-07-01,CH-AG,2021-05-29.xlsx,meth
21,0.0,2005-08-01,CH-AG,2021-05-29.xlsx,meth
22,0.0,2005-09-01,CH-AG,2021-05-29.xlsx,meth
23,0.0,2005-10-01,CH-AG,2021-05-29.xlsx,meth
24,0.0,2005-11-01,CH-AG,2021-05-29.xlsx,meth
25,0.0,2005-12-01,CH-AG,2021-05-29.xlsx,meth
26,0.0,2006-01-01,CH-AG,2021-05-29.xlsx,meth
27,0.0,2006-02-01,CH-AG,2021-05-29.xlsx,meth
28,0.0,2006-03-01,CH-AG,2021-05-29.xlsx,meth
29,0.0,2006-04-01,CH-AG,2021-05-29.xlsx,meth
30,0.0,2006-05-01,CH-AG,2021-05-29.xlsx,meth
31,0.0,2006-06-01,CH-AG,2021-05-29.xlsx,meth
32,0.0,2006-07-01,CH-AG,2021-05-29.xlsx,meth
33,0.0,2006-08-01,CH-AG,2021-05-29.xlsx,meth
34,0.0,2006-09-01,CH-AG,2021-05-29.xlsx,meth
35,0.0,2006-10-01,CH-AG,2021-05-29.xlsx,meth
36,0.0,2006-11-01,CH-AG,2021-05-29.xlsx,meth
37,0.0,2006-12-01,CH-AG,2021-05-29.xlsx,meth
38,0.0,2007-01-01,CH-AG,2021-05-29.xlsx,meth
39,0.0,2007-02-01,CH-AG,2021-05-29.xlsx,meth
40,0.0,2007-03-01,CH-AG,2021-05-29.xlsx,meth
41,0.0,2007-04-01,CH-AG,2021-05-29.xlsx,meth
42,0.0,2007-05-01,CH-AG,2021-05-29.xlsx,meth
43,0.0,2007-06-01,CH-AG,2021-05-29.xlsx,meth
44,0.0,2007-07-01,CH-AG,2021-05-29.xlsx,meth
45,0.0,2007-08-01,CH-AG,2021-05-29.xlsx,meth
46,0.0,2007-09-01,CH-AG,2021-05-29.xlsx,meth
47,0.0,2007-10-01,CH-AG,2021-05-29.xlsx,meth
48,0.0,2007-11-01,CH-AG,2021-05-29.xlsx,meth
49,0.0,2007-12-01,CH-AG,2021-05-29.xlsx,meth
50,0.0,2008-01-01,CH-AG,2021-05-29.xlsx,meth
51,100.0,2008-02-01,CH-AG,2021-05-29.xlsx,meth
52,0.0,2008-03-01,CH-AG,2021-05-29.xlsx,meth
53,0.0,2008-04-01,CH-AG,2021-05-29.xlsx,meth
54,0.0,2008-05-01,CH-AG,2021-05-29.xlsx,meth
55,0.0,2008-06-01,CH-AG,2021-05-29.xlsx,meth
56,0.0,2008-07-01,CH-AG,2021-05-29.xlsx,meth
57,0.0,2008-08-01,CH-AG,2021-05-29.xlsx,meth
58,0.0,2008-09-01,CH-AG,2021-05-29.xlsx,meth
59,0.0,2008-10-01,CH-AG,2021-05-29.xlsx,meth
60,0.0,2008-11-01,CH-AG,2021-05-29.xlsx,meth
61,0.0,2008-12-01,CH-AG,2021-05-29.xlsx,meth
62,0.0,2009-01-01,CH-AG,2021-05-29.xlsx,meth
63,0.0,2009-02-01,CH-AG,2021-05-29.xlsx,meth
64,0.0,2009-03-01,CH-AG,2021-05-29.xlsx,meth
65,0.0,2009-04-01,CH-AG,2021-05-29.xlsx,meth
66,0.0,2009-05-01,CH-AG,2021-05-29.xlsx,meth
67,0.0,2009-06-01,CH-AG,2021-05-29.xlsx,meth
68,0.0,2009-07-01,CH-AG,2021-05-29.xlsx,meth
69,0.0,2009-08-01,CH-AG,2021-05-29.xlsx,meth
70,0.0,2009-09-01,CH-AG,2021-05-29.xlsx,meth
71,0.0,2009-10-01,CH-AG,2021-05-29.xlsx,meth
72,0.0,2009-11-01,CH-AG,2021-05-29.xlsx,meth
73,0.0,2009-12-01,CH-AG,2021-05-29.xlsx,meth
74,0.0,2010-01-01,CH-AG,2021-05-29.xlsx,meth
75,0.0,2010-02-01,CH-AG,2021-05-29.xlsx,meth
76,0.0,2010-03-01,CH-AG,2021-05-29.xlsx,meth
77,0.0,2010-04-01,CH-AG,2021-05-29.xlsx,meth
78,0.0,2010-05-01,CH-AG,2021-05-29.xlsx,meth
79,0.0,2010-06-01,CH-AG,2021-05-29.xlsx,meth
80,0.0,2010-07-01,CH-AG,2021-05-29.xlsx,meth
81,0.0,2010-08-01,CH-AG,2021-05-29.xlsx,meth
82,0.0,2010-09-01,CH-AG,2021-05-29.xlsx,meth
83,0.0,2010-10-01,CH-AG,2021-05-29.xlsx,meth
84,0.0,2010-11-01,CH-AG,2021-05-29.xlsx,meth
85,0.0,2010-12-01,CH-AG,2021-05-29.xlsx,meth
86,0.0,2011-01-01,CH-AG,2021-05-29.xlsx,meth
87,0.0,2011-02-01,CH-AG,2021-05-29.xlsx,meth
88,0.0,2011-03-01,CH-AG,2021-05-29.xlsx,meth
89,0.0,2011-04-01,CH-AG,2021-05-29.xlsx,meth
90,0.0,2011-05-01,CH-AG,2021-05-29.xlsx,meth
91,0.0,2011-06-01,CH-AG,2021-05-29.xlsx,meth
92,14.0,2011-07-01,CH-AG,2021-05-29.xlsx,meth
93,0.0,2011-08-01,CH-AG,2021-05-29.xlsx,meth
94,17.0,2011-09-01,CH-AG,2021-05-29.xlsx,meth
