Code,Subdivision name,Subdivision category,Parent subdivision
AD-02,Canillo,parish,AD
AD-03,Encamp,parish,AD
AD-04,La Massana,parish,AD
AD-05,Ordino,parish,AD
AD-06,Sant Julià de Lòria,parish,AD
AD-07,Andorra la Vella,parish,AD
AD-08,Escaldes-Engordany,parish,AD
AE-AJ,Ajman,emirates,AE
AE-AZ,Abu Dhabi,emirates,AE
AE-DU,Dubai,emirates,AE
AE-FU,Fujairah,emirates,AE
AE-RK,Ras al-Khaimah,emirates,AE
AE-SH,Sharjah,emirates,AE
AE-UQ,Umm al-Quwain,emirates,AE
AF-BAL,Balkh,province,AF
AF-BAM,Bamyan,province,AF
AF-BDG,Badghis,province,AF
AF-BDS,Badakhshan,province,AF
AF-BGL,Baghlan,province,AF
AF-DAY,Daykundi,province,AF
AF-FRA,Farah,province,AF
AF-FYB,Faryab,province,AF
AF-GHA,Ghazni,province,AF
AF-GHO,Ghōr,province,AF
AF-HEL,Helmand,province,AF
AF-HER,Herat,province,AF
AF-JOW,Jowzjan,province,AF
AF-KAB,Kabul,province,AF
AF-KAN,Kandahar,province,AF
AF-KAP,Kapisa,province,AF
AF-KDZ,Kunduz,province,AF
AF-KHO,Khost,province,AF
AF-KNR,Kunar,province,AF
AF-LAG,Laghman,province,AF
AF-LOG,Logar,province,AF
AF-NAN,Nangarhar,province,AF
AF-NIM,Nimruz,province,AF
AF-NUR,Nuristan,province,AF
AF-PAN,Panjshir,province,AF
AF-PAR,Parwan,province,AF
AF-PIA,Paktia,province,AF
AF-PKA,Paktika,province,AF
AF-SAM,Samangan,province,AF
AF-SAR,Sar-e Pol,province,AF
AF-TAK,Takhar,province,AF
AF-URU,Urozgan,province,AF
AF-WAR,Maidan Wardak,province,AF
AF-ZAB,Zabul,province,AF
AG-03,Saint George,parish,AG
AG-04,Saint John,parish,AG
AG-05,Saint Mary,parish,AG
AG-06,Saint Paul,parish,AG
AG-07,Saint Peter,parish,AG
AG-08,Saint Philip,parish,AG
AG-10,Barbuda,dependency,AG
AG-11,Redonda,dependency,AG
AI,(No regions),,AI
AL-01,Berat,county,AL
AL-02,Durrës,county,AL
AL-03,Elbasan,county,AL
AL-04,Fier,county,AL
AL-05,Gjirokastër,county,AL
AL-06,Korçë,county,AL
AL-07,Kukës,county,AL
AL-08,Lezhë,county,AL
AL-09,Dibër,county,AL
AL-10,Shkodër,county,AL
AL-11,Tiranë,county,AL
AL-12,Vlorë,county,AL
AM-AG,Aragatsotn,province,AM
AM-AR,Ararat,province,AM
AM-AV,Armavir,province,AM
AM-ER,Yerevan,city,AM
AM-GR,Gegharkunik,province,AM
AM-KT,Kotayk,province,AM
AM-LO,Lori,province,AM
AM-SH,Shirak,province,AM
AM-SU,Syunik,province,AM
AM-TV,Tavush,province,AM
AM-VD,Vayots Dzor,province,AM
AO-BGO,Bengo,province,AO
AO-BGU,Benguela,province,AO
AO-BIE,Bié,province,AO
AO-CAB,Cabinda,province,AO
AO-CCU,Kuando Kubango,province,AO
AO-CNN,Cunene,province,AO
AO-CNO,Kwanza Norte,province,AO
AO-CUS,Kwanza Sul,province,AO
AO-HUA,Huambo,province,AO
AO-HUI,Huíla,province,AO
AO-LNO,Lunda Norte,province,AO
AO-LSU,Lunda Sul,province,AO
AO-LUA,Luanda,province,AO
AO-MAL,Malange,province,AO
AO-MOX,Moxico,province,AO
AO-NAM,Namibe,province,AO
AO-UIG,Uíge,province,AO
AO-ZAI,Zaire,province,AO
AQ,(No regions),,AQ
AR-A,Salta,province,AR
AR-B,Buenos Aires,province,AR
AR-C,Ciudad Autónoma de Buenos Aires,city,AR
AR-D,San Luis,province,AR
AR-E,Entre Ríos,province,AR
AR-F,La Rioja,province,AR
AR-G,Santiago del Estero,province,AR
AR-H,Chaco,province,AR
AR-J,San Juan,province,AR
AR-K,Catamarca,province,AR
AR-L,La Pampa,province,AR
AR-M,Mendoza,province,AR
AR-N,Misiones,province,AR
AR-P,Formosa,province,AR
AR-Q,Neuquén,province,AR
AR-R,Río Negro,province,AR
AR-S,Santa Fe,province,AR
AR-T,Tucumán,province,AR
AR-U,Chubut,province,AR
AR-V,Tierra del Fuego,province,AR
AR-W,Corrientes,province,AR
AR-X,Córdoba,province,AR
AR-Y,Jujuy,province,AR
AR-Z,Santa Cruz,province,AR
AS,(No regions),,AS
AT-1,Burgenland,state,AT
AT-2,Carinthia,state,AT
AT-3,Lower Austria,state,AT
AT-4,Upper Austria,state,AT
AT-5,Salzburg,state,AT
AT-6,Styria,state,AT
AT-7,Tyrol,state,AT
AT-8,Vorarlberg,state,AT
AT-9,Vienna,state,AT
AU-ACT,Australian Capital Territory,territory,AU
AU-NSW,New South Wales,state,AU
AU-NT,Northern Territory,territory,AU
AU-QLD,Queensland,state,AU
AU-SA,South Australia,state,AU
AU-TAS,Tasmania,state,AU
AU-VIC,Victoria,state,AU
AU-WA,Western Australia,state,AU
AW,(No regions),,AW
AX,(No regions),,AX
AZ,Main region (Azerbaijan),,AZ
AZ-BA,Baku,municipality,AZ
AZ-NX,Nakhchivan,autonomous republic,AZ
BA-BIH,Federation of Bosnia and Herzegovina,entity,BA
BA-BRC,Brčko District,district with special status,BA
BA-SRP,Republika Srpska,entity,BA
BB-01,Christ Church,parish,BB
BB-02,Saint Andrew,parish,BB
BB-03,Saint George,parish,BB
BB-04,Saint James,parish,BB
BB-05,Saint John,parish,BB
BB-06,Saint Joseph,parish,BB
BB-07,Saint Lucy,parish,BB
BB-08,Saint Michael,parish,BB
BB-09,Saint Peter,parish,BB
BB-10,Saint Philip,parish,BB
BB-11,Saint Thomas,parish,BB
BD-01,Bandarban,district,BD
BD-02,Barguna,district,BD
BD-03,Bogra,district,BD
BD-04,Brahmanbaria,district,BD
BD-05,Bagerhat,district,BD
BD-06,Barisal,district,BD
BD-07,Bhola,district,BD
BD-08,Comilla,district,BD
BD-09,Chandpur,district,BD
BD-10,Chittagong,district,BD
BD-11,Cox's Bazar,district,BD
BD-12,Chuadanga,district,BD
BD-13,Dhaka,district,BD
BD-14,Dinajpur,district,BD
BD-15,Faridpur,district,BD
BD-16,Feni,district,BD
BD-17,Gopalganj,district,BD
BD-18,Gazipur,district,BD
BD-19,Gaibandha,district,BD
BD-20,Habiganj,district,BD
BD-21,Jamalpur,district,BD
BD-22,Jessore,district,BD
BD-23,Jhenaidah,district,BD
BD-24,Joypurhat,district,BD
BD-25,Jhalakathi,district,BD
BD-26,Kishoreganj,district,BD
BD-27,Khulna,district,BD
BD-28,Kurigram,district,BD
BD-29,Khagrachhari,district,BD
BD-30,Kushtia,district,BD
BD-31,Lakshmipur,district,BD
BD-32,Lalmonirhat,district,BD
BD-33,Manikganj,district,BD
BD-34,Mymensingh,district,BD
BD-35,Munshiganj,district,BD
BD-36,Madaripur,district,BD
BD-37,Magura,district,BD
BD-38,Moulvibazar,district,BD
BD-39,Meherpur,district,BD
BD-40,Narayanganj,district,BD
BD-41,Netrakona,district,BD
BD-42,Narsingdi,district,BD
BD-43,Narail,district,BD
BD-44,Natore,district,BD
BD-45,Chapai Nawabganj,district,BD
BD-46,Nilphamari,district,BD
BD-47,Noakhali,district,BD
BD-48,Naogaon,district,BD
BD-49,Pabna,district,BD
BD-50,Pirojpur,district,BD
BD-51,Patuakhali,district,BD
BD-52,Panchagarh,district,BD
BD-53,Rajbari,district,BD
BD-54,Rajshahi,district,BD
BD-55,Rangpur,district,BD
BD-56,Rangamati,district,BD
BD-57,Sherpur,district,BD
BD-58,Satkhira,district,BD
BD-59,Sirajganj,district,BD
BD-60,Sylhet,district,BD
BD-61,Sunamganj,district,BD
BD-62,Shariatpur,district,BD
BD-63,Tangail,district,BD
BD-64,Thakurgaon,district,BD
BD-A,Barisal,division,BD
BD-B,Chittagong,division,BD
BD-C,Dhaka,division,BD
BD-D,Khulna,division,BD
BD-E,Rajshahi,division,BD
BD-F,Rangpur,division,BD
BD-G,Sylhet,division,BD
BD-H,Mymensingh,division,BD
BE-BRU,Brussels-Capital Region,region,BE
BE-VAN,Antwerpen,province,BE
BE-VBR,Vlaams-Brabant,province,BE
BE-VLG,Flemish Region,region,BE
BE-VLI,Limburg,province,BE
BE-VOV,Oost-Vlaanderen,province,BE
BE-VWV,West-Vlaanderen,province,BE
BE-WAL,Walloon Region,region,BE
BE-WBR,Brabant wallon,province,BE
BE-WHT,Hainaut,province,BE
BE-WLG,Liège,province,BE
BE-WLX,Luxembourg,province,BE
BE-WNA,Namur,province,BE
BF-01,Boucle du Mouhoun,region,BF
BF-02,Cascades,region,BF
BF-03,Centre,region,BF
BF-04,Centre-Est,region,BF
BF-05,Centre-Nord,region,BF
BF-06,Centre-Ouest,region,BF
BF-07,Centre-Sud,region,BF
BF-08,Est,region,BF
BF-09,Hauts-Bassins,region,BF
BF-10,Nord,region,BF
BF-11,Plateau-Central,region,BF
BF-12,Sahel,region,BF
BF-13,Sud-Ouest,region,BF
BF-BAL,Balé,province,BF
BF-BAM,Bam,province,BF
BF-BAN,Banwa,province,BF
BF-BAZ,Bazèga,province,BF
BF-BGR,Bougouriba,province,BF
BF-BLG,Boulgou,province,BF
BF-BLK,Boulkiemdé,province,BF
BF-COM,Comoé,province,BF
BF-GAN,Ganzourgou,province,BF
BF-GNA,Gnagna,province,BF
BF-GOU,Gourma,province,BF
BF-HOU,Houet,province,BF
BF-IOB,Ioba,province,BF
BF-KAD,Kadiogo,province,BF
BF-KEN,Kénédougou,province,BF
BF-KMD,Komondjari,province,BF
BF-KMP,Kompienga,province,BF
BF-KOP,Koulpélogo,province,BF
BF-KOS,Kossi,province,BF
BF-KOT,Kouritenga,province,BF
BF-KOW,Kourwéogo,province,BF
BF-LER,Léraba,province,BF
BF-LOR,Loroum,province,BF
BF-MOU,Mouhoun,province,BF
BF-NAM,Namentenga,province,BF
BF-NAO,Nahouri,province,BF
BF-NAY,Nayala,province,BF
BF-NOU,Noumbiel,province,BF
BF-OUB,Oubritenga,province,BF
BF-OUD,Oudalan,province,BF
BF-PAS,Passoré,province,BF
BF-PON,Poni,province,BF
BF-SEN,Séno,province,BF
BF-SIS,Sissili,province,BF
BF-SMT,Sanmatenga,province,BF
BF-SNG,Sanguié,province,BF
BF-SOM,Soum,province,BF
BF-SOR,Sourou,province,BF
BF-TAP,Tapoa,province,BF
BF-TUI,Tuy,province,BF
BF-YAG,Yagha,province,BF
BF-YAT,Yatenga,province,BF
BF-ZIR,Ziro,province,BF
BF-ZON,Zondoma,province,BF
BF-ZOU,Zoundwéogo,province,BF
BG-01,Blagoevgrad,region,BG
BG-02,Burgas,region,BG
BG-03,Varna,region,BG
BG-04,Veliko Tarnovo,region,BG
BG-05,Vidin,region,BG
BG-06,Vratsa,region,BG
