ccode,year,month,meth,firstusers_cmeth_DE,nseizes_cmeth_DE,kg_cmeth_DE,druglabbusts_DE,hospitalizations_CH,offences_meth_gesamt_CH,offences_anbau_herstellung_SF,offenders_anbau_herstellung_SF,offences_besitz_sicherst_SF,offenders_besitz_sicherst_SF,offences_handel_SF,offenders_handel_SF,offences_einfuhr_SF,offenders_einfuhr_SF,offences_handel_gesamt,offenders_handel_gesamt,offences_konsum_gesamt,offenders_konsum_gesamt,offences_besitz_sst_gesamt,offenders_besitz_sst_gesamt,offences_anbau_herst_gesamt,offenders_anbau_herst_gesamt,offences_schmuggel_gesamt,offenders_schmuggel_gesamt,offences_meth_AT
AT,2004,1,0,,,,,,,,,,,,,,,,,,,,,,,,,102
AT,2004,2,0,,,,,,,,,,,,,,,,,,,,,,,,,102
AT,2004,3,0,,,,,,,,,,,,,,,,,,,,,,,,,102
AT,2004,4,0,,,,,,,,,,,,,,,,,,,,,,,,,102
AT,2004,5,0,,,,,,,,,,,,,,,,,,,,,,,,,102
AT,2004,6,0,,,,,,,,,,,,,,,,,,,,,,,,,102
AT,2004,7,0,,,,,,,,,,,,,,,,,,,,,,,,,102
AT,2004,8,0,,,,,,,,,,,,,,,,,,,,,,,,,102
AT,2004,9,0,,,,,,,,,,,,,,,,,,,,,,,,,102
AT,2004,10,0,,,,,,,,,,,,,,,,,,,,,,,,,102
AT,2004,11,0,,,,,,,,,,,,,,,,,,,,,,,,,102
AT,2004,12,0,,,,,,,,,,,,,,,,,,,,,,,,,102
AT,2005,1,0,,,,,,,,,,,,,,,,,,,,,,,,,131
AT,2005,2,0,,,,,,,,,,,,,,,,,,,,,,,,,131
AT,2005,3,0,,,,,,,,,,,,,,,,,,,,,,,,,131
AT,2005,4,0,,,,,,,,,,,,,,,,,,,,,,,,,131
AT,2005,5,0,,,,,,,,,,,,,,,,,,,,,,,,,131
AT,2005,6,0,,,,,,,,,,,,,,,,,,,,,,,,,131
AT,2005,7,0,,,,,,,,,,,,,,,,,,,,,,,,,131
AT,2005,8,0,,,,,,,,,,,,,,,,,,,,,,,,,131
AT,2005,9,0,,,,,,,,,,,,,,,,,,,,,,,,,131
AT,2005,10,0,,,,,,,,,,,,,,,,,,,,,,,,,131
AT,2005,11,0,,,,,,,,,,,,,,,,,,,,,,,,,131
AT,2005,12,0,,,,,,,,,,,,,,,,,,,,,,,,,131
AT,2006,1,0,,,,,,,,,,,,,,,,,,,,,,,,,136
AT,2006,2,0,,,,,,,,,,,,,,,,,,,,,,,,,136
AT,2006,3,0,,,,,,,,,,,,,,,,,,,,,,,,,136
AT,2006,4,0,,,,,,,,,,,,,,,,,,,,,,,,,136
AT,2006,5,100,,,,,,,,,,,,,,,,,,,,,,,,,136
AT,2006,6,0,,,,,,,,,,,,,,,,,,,,,,,,,136
AT,2006,7,0,,,,,,,,,,,,,,,,,,,,,,,,,136
AT,2006,8,0,,,,,,,,,,,,,,,,,,,,,,,,,136
AT,2006,9,0,,,,,,,,,,,,,,,,,,,,,,,,,136
AT,2006,10,0,,,,,,,,,,,,,,,,,,,,,,,,,136
AT,2006,11,0,,,,,,,,,,,,,,,,,,,,,,,,,136
AT,2006,12,0,,,,,,,,,,,,,,,,,,,,,,,,,136
AT,2007,1,0,,,,,,,,,,,,,,,,,,,,,,,,,198
AT,2007,2,0,,,,,,,,,,,,,,,,,,,,,,,,,198
AT,2007,3,0,,,,,,,,,,,,,,,,,,,,,,,,,198
AT,2007,4,0,,,,,,,,,,,,,,,,,,,,,,,,,198
AT,2007,5,0,,,,,,,,,,,,,,,,,,,,,,,,,198
AT,2007,6,0,,,,,,,,,,,,,,,,,,,,,,,,,198
AT,2007,7,0,,,,,,,,,,,,,,,,,,,,,,,,,198
