,index,gt_value,date,region,date_obtained,term_topic
0,0,,,CH-AG,2021-06-03,meth
1,2,0.0,2004-01-01,CH-AG,2021-05-29,meth
2,3,0.0,2004-02-01,CH-AG,2021-05-29,meth
3,4,0.0,2004-03-01,CH-AG,2021-05-29,meth
4,5,0.0,2004-04-01,CH-AG,2021-05-29,meth
5,6,0.0,2004-05-01,CH-AG,2021-05-29,meth
6,7,0.0,2004-06-01,CH-AG,2021-05-29,meth
7,8,0.0,2004-07-01,CH-AG,2021-05-29,meth
8,9,0.0,2004-08-01,CH-AG,2021-05-29,meth
9,10,0.0,2004-09-01,CH-AG,2021-05-29,meth
10,11,0.0,2004-10-01,CH-AG,2021-05-29,meth
11,12,0.0,2004-11-01,CH-AG,2021-05-29,meth
12,13,0.0,2004-12-01,CH-AG,2021-05-29,meth
13,14,0.0,2005-01-01,CH-AG,2021-05-29,meth
14,15,0.0,2005-02-01,CH-AG,2021-05-29,meth
15,16,0.0,2005-03-01,CH-AG,2021-05-29,meth
16,17,0.0,2005-04-01,CH-AG,2021-05-29,meth
17,18,0.0,2005-05-01,CH-AG,2021-05-29,meth
18,19,0.0,2005-06-01,CH-AG,2021-05-29,meth
19,20,0.0,2005-07-01,CH-AG,2021-05-29,meth
20,21,0.0,2005-08-01,CH-AG,2021-05-29,meth
21,22,0.0,2005-09-01,CH-AG,2021-05-29,meth
22,23,0.0,2005-10-01,CH-AG,2021-05-29,meth
23,24,0.0,2005-11-01,CH-AG,2021-05-29,meth
24,25,0.0,2005-12-01,CH-AG,2021-05-29,meth
25,26,0.0,2006-01-01,CH-AG,2021-05-29,meth
26,27,0.0,2006-02-01,CH-AG,2021-05-29,meth
27,28,0.0,2006-03-01,CH-AG,2021-05-29,meth
28,29,0.0,2006-04-01,CH-AG,2021-05-29,meth
29,30,0.0,2006-05-01,CH-AG,2021-05-29,meth
30,31,0.0,2006-06-01,CH-AG,2021-05-29,meth
31,32,0.0,2006-07-01,CH-AG,2021-05-29,meth
32,33,0.0,2006-08-01,CH-AG,2021-05-29,meth
33,34,0.0,2006-09-01,CH-AG,2021-05-29,meth
34,35,0.0,2006-10-01,CH-AG,2021-05-29,meth
35,36,0.0,2006-11-01,CH-AG,2021-05-29,meth
36,37,0.0,2006-12-01,CH-AG,2021-05-29,meth
37,38,0.0,2007-01-01,CH-AG,2021-05-29,meth
38,39,0.0,2007-02-01,CH-AG,2021-05-29,meth
39,40,0.0,2007-03-01,CH-AG,2021-05-29,meth
